Componente,Variable,Criterio,Valor,Limite,Margen,Uso_pct,DuracionExceso_s,Unidad,Cumple
Caja reductora,Velocidad máxima de carga,Máximo absoluto en el ciclo,1.76193551417859,6.28,4.51806448582141,28.0562979964743,0,rad/s,Sí
Caja reductora,Torque de salida RMS del ciclo de operación,RMS temporal en el ciclo de operación,2.21905812624811,17,14.7809418737519,13.0532830955771,0.01175046270847,N*m RMS,Sí
Caja reductora,Torque de salida pico absoluto,Máximo absoluto en el ciclo,113.962303514336,45,-68.9623035143365,253.249563365192,0.00494352734205424,N*m pico,NO
Motor PMSM,Velocidad máxima del rotor,Máximo absoluto en el ciclo,211.43226170143,691.15,479.71773829857,30.5913711497404,0,rad/s,Sí
Motor PMSM,Corriente de fase RMS del ciclo de operación,Mayor RMS temporal entre las tres fases,0.668202454953538,0.4,-0.268202454953538,167.050613738384,0.0249347165872042,A RMS,NO
Motor PMSM,Corriente RMS equivalente máxima durante aceleraciones,Intervalos de aceleración,32.6040389573612,2,-30.6040389573612,1630.20194786806,0.0146659146819294,A RMS equivalente,NO
Motor PMSM,Tensión línea-línea RMS equivalente máxima,Máximo de sqrt((Vab^2+Vbc^2+Vca^2)/3),409.942148533555,30,-379.942148533555,1366.47382844518,0.017183374262911,V línea-línea RMS,NO
Motor PMSM,Temperatura máxima del estator,Máximo en el ciclo,54.3211040376657,115,60.6788959623343,47.2357426414484,0,degC,Sí
Inversor,Módulo de tensión de línea RMS equivalente máximo,Máximo de la envolvente RMS de línea,409.942148533555,48,-361.942148533555,854.046142778239,0.0134963576080621,V línea-línea RMS,NO
Inversor,Tensión de fase instantánea máxima solicitada,Máximo absoluto entre fases,334.648364732339,39.1918358845309,-295.456528847808,853.872642553154,0.0131718191073082,V fase pico,NO
Inversor / PMSM,Frecuencia sincrónica máxima estimada,Derivada de f_e = P_p*w_m/(2*pi),100.951468736646,330,229.048531263354,30.5913541626199,0,Hz,Sí
