Variable,Valor,Unidad,Comentario
Error máximo de seguimiento de posición de carga,0.000576132537521978,rad,"Métrica de seguimiento, sin límite fijado en la consigna"
Error RMS de seguimiento de posición de carga,1.07146687459234e-05,rad RMS,"Métrica de seguimiento, sin límite fijado en la consigna"
Corriente RMS fase a en ciclo de operación,0.668202454953538,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase b en ciclo de operación,0.369705935189599,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase c en ciclo de operación,0.402699009501528,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS equivalente máxima en todo el ciclo,32.6040389573612,A RMS equivalente,"Máximo del equivalente trifásico en cualquier instante"
Corriente instantánea pico,45.8382291982735,A pico,"Informativa: la guía no proporciona límite en A pico"
Corriente RMS móvil máxima de 20 ms (solo comparativa),13.7306354330465,A RMS (20 ms),"Se conserva para comparar con análisis anteriores; no decide cumplimiento"
Tensión RMS temporal Vab en ciclo completo,11.1460726296265,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vbc en ciclo completo,7.83160231063864,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vca en ciclo completo,11.2763674327708,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Torque electromagnético máximo del motor,3.25819652322692,N*m,"Torque del eje motor, no el torque de salida de la caja"
Temperatura final del estator,54.3211040376657,degC,"Valor al final del intervalo de operación"
