Variable,Valor,Unidad,Comentario
Error máximo de seguimiento de posición de carga,1.46597687855632e-06,rad,"Métrica de seguimiento, sin límite fijado en la consigna"
Error RMS de seguimiento de posición de carga,6.1666684254651e-07,rad RMS,"Métrica de seguimiento, sin límite fijado en la consigna"
Corriente RMS fase a en ciclo de operación,0.115599430875848,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase b en ciclo de operación,0.115599417145764,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase c en ciclo de operación,0.115599417145427,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS equivalente máxima en todo el ciclo,0.275092608803728,A RMS equivalente,"Máximo del equivalente trifásico en cualquier instante"
Corriente instantánea pico,0.38902801764472,A pico,"Informativa: la guía no proporciona límite en A pico"
Corriente RMS móvil máxima de 20 ms (solo comparativa),0.28420481421244,A RMS (20 ms),"Se conserva para comparar con análisis anteriores; no decide cumplimiento"
Tensión RMS temporal Vab en ciclo completo,8.74777793859784,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vbc en ciclo completo,8.74781377579069,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vca en ciclo completo,8.74777793367774,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Torque electromagnético máximo del motor,0.028010858275626,N*m,"Torque del eje motor, no el torque de salida de la caja"
Temperatura final del estator,40.7587523968138,degC,"Valor al final del intervalo de operación"
