Variable,Valor,Unidad,Comentario
Error máximo de seguimiento de posición de carga,1.70744192695693e-06,rad,"Métrica de seguimiento, sin límite fijado en la consigna"
Error RMS de seguimiento de posición de carga,6.11378039149368e-07,rad RMS,"Métrica de seguimiento, sin límite fijado en la consigna"
Corriente RMS fase a en ciclo de operación,0.11444932993981,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase b en ciclo de operación,0.114383604060597,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS fase c en ciclo de operación,0.114383603580236,A RMS,"RMS temporal durante el intervalo de operación"
Corriente RMS equivalente máxima en todo el ciclo,0.24127030823209,A RMS equivalente,"Máximo del equivalente trifásico en cualquier instante"
Corriente instantánea pico,0.341193477466909,A pico,"Informativa: la guía no proporciona límite en A pico"
Corriente RMS móvil máxima de 20 ms (solo comparativa),0.251143392054733,A RMS (20 ms),"Se conserva para comparar con análisis anteriores; no decide cumplimiento"
Tensión RMS temporal Vab en ciclo completo,7.82951304351416,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vbc en ciclo completo,7.82966830530296,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Tensión RMS temporal Vca en ciclo completo,7.82951301423523,V RMS,"RMS global; puede ocultar transitorios, por eso no se usa como máximo"
Torque electromagnético máximo del motor,0.0245669574311362,N*m,"Torque del eje motor, no el torque de salida de la caja"
Temperatura final del estator,40.7424916622761,degC,"Valor al final del intervalo de operación"
