Ciclo,Tmax_degC,Tmin_degC,Tmedia_degC,Tfin_degC,Delta_Tmax_degC,Delta_Tmin_degC
1,47.0528097803466,40,42.6362014961652,47.0680450037406,NaN,NaN
2,56.8969670575601,47.0680450037406,52.4352860262209,56.9111315965593,9.84415727721341,7.06804500374059
3,65.9345097984146,56.9111315965593,61.8833500527118,65.9476913831905,9.03754274085458,9.84308659281869
4,74.2315307850899,65.9476913831905,70.5572548292902,74.2438099573334,8.29702098667522,9.03655978663118
5,81.8487071182321,74.2438099573334,78.5204337062649,81.8601578201856,7.61717633314223,8.29611857414291
6,88.8417441520945,81.8601578201856,85.8311224351316,88.852434267295,6.99303703386241,7.61634786285227
7,95.2617829670901,88.852434267295,92.5427849915984,95.271774816794,6.42003881499561,6.99227644710935
8,101.155774008501,95.271774816794,98.7045046559948,101.165124807473,5.89399104141127,6.419340549499
9,106.566820930047,101.165124807473,104.361342905911,106.575583204949,5.41104692154593,5.89334999067896
10,111.534495279559,106.575583204949,109.554668867295,111.542717253117,4.96767434951121,5.41045839747656
11,116.095126330866,111.542717253117,114.322461995571,116.10285227451,4.56063105130751,4.96713404816755
12,120.282066563731,116.10285227451,118.699589767219,120.289337121359,4.18694023286541,4.56013502139268
13,124.125935617309,120.289337121359,122.718062690916,124.132788102521,3.84386905357736,4.18648484684888
14,127.654844205804,124.132788102521,126.407268364936,127.661312874784,3.52890858849563,3.84345098116198
15,130.894599676152,127.661312874784,129.794186445683,130.900715978187,3.23975547034793,3.52852477226322
16,133.868894746408,130.900715978187,132.903585892218,133.874687553883,2.97429507025524,3.23940310340311
17,136.599480825701,133.874687553883,135.75820610366,136.604976645246,2.73058607929372,2.97397157569623
18,139.106327070155,136.604976645246,138.378923284275,139.111550236478,2.50684624445338,2.73028909136235
19,141.478013954646,139.111550236478,140.784903109822,141.412739183036,2.37168688449145,2.50657359123281
20,143.756062990155,141.412739183036,142.993740793727,143.525372379731,2.27804903550867,2.30118894655743
21,145.847523961958,143.525372379731,145.021589832249,145.464899813218,2.09146097180329,2.11263319669561
22,147.76777988349,145.464899813218,146.88328018552,147.245505476146,1.92025592153155,1.93952743348686
23,149.530693157361,147.245505476146,148.59242661251,148.880211161101,1.76291327387119,1.78060566292771
24,151.149315551582,148.880211161101,150.161528322592,150.380971670172,1.61862239422103,1.63470568495546
25,152.63534149759,150.380971670172,151.602060331756,151.758762253549,1.48602594600828,1.50076050907089
26,153.999604855532,151.758762253549,152.924557454799,153.023658887393,1.36426335794138,1.37779058337682
27,155.252160545465,152.96479225331,154.13869128054,154.184911909561,1.25255568993362,1.20602999976109
28,156.402147796786,154.042606570298,155.253340918128,155.251013722204,1.14998725132108,1.07781431698749
29,157.457906949836,155.032066393864,156.276657964008,156.22976086973,1.05575915304928,0.989459823566818
30,158.427158881362,155.940381304107,157.216126048369,157.128311038736,0.969251931526401,0.908314910242041
31,159.3169918713,156.774270342461,158.07861562285,157.953235450961,0.889832989937588,0.8338890383543
32,160.133975812349,157.539831851564,158.870434188722,158.710566877121,0.816983941049415,0.765561509103094
33,160.884047320584,158.242664501825,159.597372404442,159.405843746876,0.750071508235152,0.702832650261485
34,161.572659193271,158.887908032963,160.264746423447,160.044150717098,0.688611872686494,0.645243531137993
35,162.204847181062,159.48028143013,160.877436872605,160.630155875279,0.632187987791866,0.592373397166938
36,162.785234790818,160.024075398505,161.439924493894,161.16814469166,0.580387609755547,0.543793968375098
37,163.318066388949,160.523291571595,161.956322742893,161.662051540115,0.532831598131338,0.499216173089508
38,163.807238575369,160.981602735029,162.430408138766,162.115488480999,0.489172186419921,0.458311163434018
39,164.256328719747,161.402360686695,162.86564774874,162.531771534646,0.449090144378175,0.420757951666303
40,164.668621217821,161.788642395848,163.265224542619,162.913945015871,0.412292498073924,0.386281709152371
41,165.047154808889,162.143272796196,163.631569229502,163.26480380561,0.378533591067566,0.354630400348668
