Evento,t_k_s,Entrada,vqs_i_V,vqs_f_V,Tld_i_Nm,Tld_f_Nm,w_i_rad_s,w_f_rad_s,iq_i_A,iq_f_A,Tm_i_Nm,Tm_f_Nm
1,0.1,v_qs,0,19.596,0,0,0,401.572086749708,0,0.285305038388299,0,0.0205419627639856
2,0.3,T_ld,19.596,19.596,0,6.28,401.474448479582,382.519435402935,0.28960005237471,1.11240705370776,0.0208512037710077,0.0800933078666902
3,0.5,T_ld,19.596,19.596,6.28,-6.28,382.483527217853,416.01878448608,1.11374626683055,-0.334580581200194,0.0801897312115807,-0.0240898018464129
4,0.7,v_qs,19.596,0,-6.28,-6.28,416.107197869502,10.9096229365959,-0.338229257979197,-0.46805838585309,-0.0243525065745011,-0.0337002037814218
5,0.9,T_ld,0,0,-6.28,0,10.9123866860921,-5.9163225004086,-0.468157407405709,0.254259892833027,-0.0337073333332113,0.0183067122839775
6,1.1,v_qs,0,-19.596,0,0,-5.91622504390943,-411.856422154386,0.254229760679354,0.154578448894197,0.018304542768913,0.0111296483206079
7,1.3,T_ld,-19.596,-19.596,0,6.28,-411.833838339481,-426.374698820513,0.153847752714623,0.776024934478035,0.0110770381957669,0.0558737952825144
8,1.5,T_ld,-19.596,-19.596,6.28,-6.28,-426.235579952044,-388.381078910216,0.769851006522528,-0.840557296186922,0.055429272467375,-0.0605201253255036
9,1.7,v_qs,-19.596,0,-6.28,-6.28,-388.381078910216,17.143715297004,-0.840557296186922,-0.724897677852698,-0.0605201253255036,-0.0521926328053789
10,1.90000000000001,T_ld,0,0,-6.28,0,17.1330674951463,0.0550867506949781,-0.724402652134571,-0.002052314181423,-0.0521569909536789,-0.000147766621062326
